article_key,article_label,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):first_page,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):pages,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):titles,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:first_page,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:pages,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:titles
1,제1조,1,"1,123",목적 | 시행일,10,"10,313,314,315,316,317,318",목적 | 시행일
2,제2조,1,"1,123",정의 | 산소 및 유해가스 농도의 측정결과 등의 기록 및 보존에 관한 적용례,10,"10,313,314,315,316,317,318",정의 | 다른법령의 폐지 | 타워크레인의 지지에 관한 적용례 | 안전밸브 검사주기에 관한 적용례 | 사업주의 보호조치에 관한 경과조치 | 유해요인 조사방법 및 유해성 등의 주지에 관한 적용례 | 리프트에 관한 경과조치 | 석면해체·제거작업 시의 조치에 관한 적용례 | 출입 금지에 관한 적용례 | 작업지휘자의 지정에 관한 적용례 | 다른 법령의 개정
3,제3조,1,1,전도의 방지,12,"12,313,314,316,317",전도의 방지 | 안전밸브의 검사주기에 관한 적용례 | 다른 법령의 개정 | 승강기에 관한 경과조치 | 항타기·항발기의 조립·해체 시 점검사항에 관한 적용례 | 안전성 평가에 관한 적용례
4,제4조,1,1,작업장의 청결,12,"12,313,316,317",작업장의 청결 | 피뢰침 설치에 관한 경과조치 | 사업주의 보호조치에 관한 경과규정 | 굴착기 후사경 등의 부착에 관한 적용례
4-2,제4조의2,1,1,분진의 흩날림 방지,,,
5,제5조,1,1,오염된 바닥의 세척 등,12,"12,313,317",오염된 바닥의 세척 등 | 다른 법령의 개정 | 화재대피용 마스크에 관한 적용례
6,제6조,1,1,오물의 처리 등,13,"13,314,317",오물의 처리 등 | 다른 법령과의 관계 | 이동식 크레인 탑승의 제한에 관한 경과조치
7,제7조,2,2,채광 및 조명,13,"13,317",채광 및 조명 | 화염방지기능이 있는 통기밸브 설치에 관한 경과조치
8,제8조,2,2,조도,13,"13,317",조도 | 산소 또는 이산화탄소 감지 및 경보장치 설치에 관한 경과조치
9,제9조,2,2,작업발판 등,14,14,작업발판 등
10,제10조,2,2,작업장의 창문,14,14,작업장의 창문
11,제11조,2,2,작업장의 출입구,14,14,작업장의 출입구
12,제12조,2,2,동력으로 작동되는 문의 설치 조건,15,15,동력으로 작동되는 문의 설치 조건
13,제13조,2,2,안전난간의 구조 및 설치요건,15,15,안전난간의 구조 및 설치요건
14,제14조,3,3,낙하물에 의한 위험의 방지,16,16,낙하물에 의한 위험의 방지
15,제15조,3,3,투하설비 등,16,16,투하설비 등
16,제16조,3,3,위험물 등의 보관,16,16,위험물 등의 보관
17,제17조,3,3,비상구의 설치,17,17,비상구의 설치
18,제18조,3,3,비상구 등의 유지,17,17,비상구 등의 유지
19,제19조,4,4,경보용 설비 등,17,17,경보용 설비 등
20,제20조,4,4,출입의 금지 등,18,18,출입의 금지 등
21,제21조,5,5,통로의 조명,20,20,통로의 조명
22,제22조,5,5,통로의 설치,20,20,통로의 설치
23,제23조,5,5,가설통로의 구조,20,20,가설통로의 구조
24,제24조,5,5,사다리식 통로 등의 구조,21,21,사다리식 통로 등의 구조
25,제25조,6,6,갱내통로 등의 위험 방지,22,22,갱내통로 등의 위험 방지
26,제26조,6,6,계단의 강도,22,22,계단의 강도
27,제27조,6,6,계단의 폭,22,22,계단의 폭
28,제28조,6,6,계단참의 설치,23,23,계단참의 설치
29,제29조,6,6,천장의 높이,23,23,천장의 높이
30,제30조,6,6,계단의 난간,23,23,계단의 난간
31,제31조,6,6,보호구의 제한적 사용,25,25,보호구의 제한적 사용
32,제32조,6,6,보호구의 지급 등,25,25,보호구의 지급 등
33,제33조,7,7,보호구의 관리,26,26,보호구의 관리
34,제34조,7,7,전용 보호구 등,26,26,전용 보호구 등
35,제35조,7,7,관리감독자의 유해ㆍ위험 방지 업무 등,28,28,관리감독자의 유해·위험 방지 업무 등
36,제36조,7,7,사용의 제한,28,28,사용의 제한
37,제37조,7,7,악천후 및 강풍 시 작업 중지,28,28,악천후 및 강풍 시 작업 중지
38,제38조,7,7,사전조사 및 작업계획서의 작성 등,28,28,사전조사 및 작업계획서의 작성 등
39,제39조,8,8,작업지휘자의 지정,29,29,작업지휘자의 지정
40,제40조,8,8,신호,29,29,신호
41,제41조,8,8,운전위치의 이탈금지,30,30,운전위치의 이탈금지
42,제42조,9,9,추락의 방지,32,32,추락의 방지
43,제43조,9,9,개구부 등의 방호 조치,33,33,개구부 등의 방호 조치
44,제44조,10,10,안전대의 부착설비 등,33,33,안전대의 부착설비 등
45,제45조,10,10,지붕 위에서의 위험 방지,33,33,지붕 위에서의 위험 방지
46,제46조,10,10,승강설비의 설치,34,34,승강설비의 설치
47,제47조,10,10,구명구 등,34,34,구명구 등
48,제48조,10,10,울타리의 설치,34,34,울타리의 설치
49,제49조,10,10,조명의 유지,34,34,조명의 유지
50,제50조,10,10,토사등에 의한 위험 방지,35,35,토사등에 의한 위험 방지
51,제51조,10,10,구축물등의 안전 유지,35,35,구축물등의 안전 유지
52,제52조,11,11,구축물등의 안전성 평가,35,35,구축물등의 안전성 평가
53,제53조,11,11,계측장치의 설치 등,36,36,계측장치의 설치 등
